phase,episode,file_id,replay_buffer_valid,total_reward,atom_survived,num_steps
train,139,2025-04-10_2381_Feedback_Run_NN_0.h5,1,17.057466506958008,0,25
train,140,2025-04-10_2383_Feedback_Run_NN_0.h5,1,7.858243465423584,0,16
train,141,2025-04-10_2388_Feedback_Run_NN_0.h5,1,-0.377469539642334,0,73
train,142,2025-04-10_2395_Feedback_Run_NN_0.h5,1,83.8074951171875,0,87
train,143,2025-04-10_2397_Feedback_Run_NN_0.h5,1,350.86407470703125,1,100
train,144,2025-04-10_2398_Feedback_Run_NN_0.h5,1,7.990400314331055,0,16
train,145,2025-04-10_2402_Feedback_Run_NN_0.h5,1,7.924569606781006,0,16
train,146,2025-04-10_2404_Feedback_Run_NN_0.h5,1,7.9043965339660645,0,16
train,147,2025-04-10_2406_Feedback_Run_NN_0.h5,1,105.07547760009766,1,100
train,148,2025-04-10_2407_Feedback_Run_NN_0.h5,1,8.057028770446777,0,16
train,149,2025-04-10_2408_Feedback_Run_NN_0.h5,1,224.927490234375,1,100
train,150,2025-04-10_2409_Feedback_Run_NN_0.h5,1,318.8210754394531,1,100
train,151,2025-04-10_2411_Feedback_Run_NN_0.h5,1,242.00013732910156,1,100
train,152,2025-04-10_2415_Feedback_Run_NN_0.h5,1,7.981501579284668,0,16
train,153,2025-04-10_2418_Feedback_Run_NN_0.h5,1,249.91598510742188,1,100
train,154,2025-04-10_2419_Feedback_Run_NN_0.h5,1,134.5324249267578,1,100
train,155,2025-04-10_2422_Feedback_Run_NN_0.h5,1,165.5071563720703,1,100
train,156,2025-04-10_2423_Feedback_Run_NN_0.h5,1,433.1764831542969,1,100
train,157,2025-04-10_2425_Feedback_Run_NN_0.h5,1,483.2093200683594,1,100
train,158,2025-04-10_2426_Feedback_Run_NN_0.h5,1,202.7553253173828,1,100
train,159,2025-04-10_2427_Feedback_Run_NN_0.h5,1,7.8008575439453125,0,16
train,160,2025-04-10_2430_Feedback_Run_NN_0.h5,1,194.46702575683594,1,100
train,161,2025-04-10_2431_Feedback_Run_NN_0.h5,1,483.44818115234375,1,100
train,162,2025-04-10_2434_Feedback_Run_NN_0.h5,1,161.7014923095703,1,100
train,163,2025-04-10_2435_Feedback_Run_NN_0.h5,1,43.28032302856445,0,39
train,164,2025-04-10_2436_Feedback_Run_NN_0.h5,1,7.915235996246338,0,16
train,165,2025-04-10_2440_Feedback_Run_NN_0.h5,1,162.66590881347656,1,100
train,166,2025-04-10_2442_Feedback_Run_NN_0.h5,1,198.33860778808594,1,100
train,167,2025-04-10_2443_Feedback_Run_NN_0.h5,1,177.36993408203125,1,100
train,168,2025-04-10_2445_Feedback_Run_NN_0.h5,1,7.778301239013672,0,16
train,169,2025-04-10_2446_Feedback_Run_NN_0.h5,1,589.128173828125,1,100
