file_id,condition,replay_buffer_valid,empty_cavity_mean,dt_ns
2025-04-13_0308_Feedback_Run_NN_03_rep00033.h5,with_feedback,0,30.35333251953125,27360.0
2025-04-13_0308_Feedback_Run_NN_04.h5,with_feedback,0,30.616666793823242,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00001.h5,with_feedback,1,34.643333435058594,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00002.h5,with_feedback,1,32.98666763305664,27340.0
2025-04-13_0308_Feedback_Run_NN_04_rep00003.h5,with_feedback,0,34.95000076293945,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00004.h5,with_feedback,1,30.343334197998047,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00005.h5,with_feedback,1,31.4233341217041,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00006.h5,with_feedback,0,33.8033332824707,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00007.h5,with_feedback,1,33.28666687011719,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00008.h5,with_feedback,0,32.59333419799805,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00009.h5,with_feedback,0,35.413333892822266,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00010.h5,with_feedback,0,30.786666870117188,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00011.h5,with_feedback,0,32.189998626708984,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00012.h5,with_feedback,0,30.219999313354492,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00013.h5,with_feedback,0,34.43333435058594,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00014.h5,with_feedback,0,32.68333435058594,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00015.h5,with_feedback,1,33.71333312988281,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00016.h5,with_feedback,0,33.28333282470703,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00017.h5,with_feedback,0,32.3033332824707,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00018.h5,with_feedback,0,30.079999923706055,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00019.h5,with_feedback,0,29.406665802001953,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00020.h5,with_feedback,0,34.336666107177734,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00021.h5,with_feedback,0,30.40999984741211,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00022.h5,with_feedback,1,33.88333511352539,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00023.h5,with_feedback,0,32.86333465576172,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00024.h5,with_feedback,0,33.83333206176758,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00025.h5,with_feedback,0,30.260000228881836,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00026.h5,with_feedback,0,30.816667556762695,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00027.h5,with_feedback,0,33.630001068115234,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00028.h5,with_feedback,1,33.04666519165039,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00029.h5,with_feedback,1,31.66666603088379,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00030.h5,with_feedback,0,33.9900016784668,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00031.h5,with_feedback,0,32.3466682434082,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00032.h5,with_feedback,1,29.71666717529297,27360.0
2025-04-13_0308_Feedback_Run_NN_04_rep00033.h5,with_feedback,0,31.323333740234375,27360.0
2025-04-13_0308_Feedback_Run_NN_05.h5,with_feedback,1,30.126667022705078,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00001.h5,with_feedback,0,34.66999816894531,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00002.h5,with_feedback,0,32.723331451416016,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00003.h5,with_feedback,1,34.540000915527344,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00004.h5,with_feedback,0,26.75,27340.0
2025-04-13_0308_Feedback_Run_NN_05_rep00005.h5,with_feedback,1,30.729999542236328,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00006.h5,with_feedback,0,33.87333297729492,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00007.h5,with_feedback,1,33.25666809082031,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00008.h5,with_feedback,0,33.130001068115234,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00009.h5,with_feedback,0,35.776668548583984,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00010.h5,with_feedback,0,30.356666564941406,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00011.h5,with_feedback,0,30.41666603088379,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00012.h5,with_feedback,1,29.573333740234375,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00013.h5,with_feedback,1,34.04666519165039,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00014.h5,with_feedback,0,33.276668548583984,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00015.h5,with_feedback,1,33.900001525878906,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00016.h5,with_feedback,1,33.313331604003906,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00017.h5,with_feedback,1,32.46666717529297,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00018.h5,with_feedback,0,30.69333267211914,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00019.h5,with_feedback,1,29.60333251953125,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00020.h5,with_feedback,1,33.86333465576172,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00021.h5,with_feedback,0,33.560001373291016,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00022.h5,with_feedback,1,34.18333435058594,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00023.h5,with_feedback,1,33.46333312988281,27360.0
2025-04-13_0308_Feedback_Run_NN_05_rep00024.h5,with_feedback,1,33.28666687011719,27360.0
