E_y,E_z,E_y_uK,E_z_uK,Transmission
1.1926926269999999e-26,1.7174773828799998e-27,863.8637532059197,124.39638046165243,0.2984433102042997
1.1926926269999999e-26,2.1468467285999996e-27,863.8637532059197,155.49547557706555,0.33000580651387323
1.1926926269999999e-26,2.5762160743199997e-27,863.8637532059197,186.59457069247864,0.36391642070520436
1.1926926269999999e-26,3.0055854200399998e-27,863.8637532059197,217.69366580789176,0.3997246151371235
1.1926926269999999e-26,3.4349547657599996e-27,863.8637532059197,248.79276092330485,0.435912378826295
1.1926926269999999e-26,3.864324111479999e-27,863.8637532059197,279.89185603871795,0.47271360681221214
1.1926926269999999e-26,4.293693457199999e-27,863.8637532059197,310.9909511541311,0.5085714614314456
1.1926926269999999e-26,4.7230628029199996e-27,863.8637532059197,342.0900462695442,0.5424621338469025
1.1926926269999999e-26,5.1524321486399994e-27,863.8637532059197,373.1891413849573,0.5739844792516741
1.1926926269999999e-26,5.581801494359999e-27,863.8637532059197,404.2882365003704,0.6040050338861217
1.1926926269999999e-26,6.0111708400799996e-27,863.8637532059197,435.3873316157835,0.6307000153811926
1.1926926269999999e-26,6.4405401857999994e-27,863.8637532059197,466.4864267311966,0.6550795964523103
1.1926926269999999e-26,6.869909531519999e-27,863.8637532059197,497.5855218466097,0.6765041743611202
1.1926926269999999e-26,7.29927887724e-27,863.8637532059197,528.6846169620229,0.696879126609253
1.1926926269999999e-26,7.728648222959999e-27,863.8637532059197,559.7837120774359,0.7151281125798261
1.1926926269999999e-26,8.158017568679999e-27,863.8637532059197,590.8828071928491,0.7314703466936154
1.1926926269999999e-26,8.587386914399998e-27,863.8637532059197,621.9819023082622,0.7462121951335247
1.1926926269999999e-26,9.016756260119999e-27,863.8637532059197,653.0809974236753,0.7612265511558672
1.1926926269999999e-26,9.446125605839999e-27,863.8637532059197,684.1800925390884,0.7733122676482823
1.1926926269999999e-26,9.875494951559998e-27,863.8637532059197,715.2791876545014,0.7859723915793954
1.1926926269999999e-26,1.0304864297279999e-26,863.8637532059197,746.3782827699146,0.7972816322777595
1.1926926269999999e-26,1.0734233642999999e-26,863.8637532059197,777.4773778853277,0.8076249468887781
1.1926926269999999e-26,1.1163602988719998e-26,863.8637532059197,808.5764730007407,0.8178360817028155
1.1926926269999999e-26,1.1592972334439999e-26,863.8637532059197,839.675568116154,0.8268850318491245
1.1926926269999999e-26,1.2022341680159999e-26,863.8637532059197,870.774663231567,0.8352228805284796
1.1926926269999999e-26,1.2451711025879998e-26,863.8637532059197,901.8737583469801,0.8443778681262271
1.1926926269999999e-26,1.2881080371599999e-26,863.8637532059197,932.9728534623932,0.8528937784318343
1.1926926269999999e-26,1.3310449717319998e-26,863.8637532059197,964.0719485778063,0.8606865035087307
1.1926926269999999e-26,1.3739819063039998e-26,863.8637532059197,995.1710436932194,0.8682883341675817
1.1926926269999999e-26,1.416918840876e-26,863.8637532059197,1026.2701388086327,0.8752534184543568
1.1926926269999999e-26,1.459855775448e-26,863.8637532059197,1057.3692339240458,0.8818043461033044
1.1926926269999999e-26,1.5027927100199997e-26,863.8637532059197,1088.4683290394587,0.8890980136764508
1.1926926269999999e-26,1.5457296445919997e-26,863.8637532059197,1119.5674241548718,0.8959793243925388
